model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.529891304347826,1.0,0.6927175843694494,0.6214442013129103,178,346,0,390,0.9823693482090429,0.9803804719986395,2.7532010049199984,0.9672131147540983,0.9076923076923077,0.9365079365079365,512,12,36,354,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ocsvm,0.5277401894451962,1.0,0.6908768821966342,0.6181619256017505,175,349,0,390,1.0,1.0,7.675547074406502,1.0,1.0,1.0,524,0,0,390,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest,0.5241935483870968,1.0,0.6878306878306878,0.612691466083151,170,354,0,390,1.0,1.0,0.22543144492232076,1.0,1.0,1.0,524,0,0,390,traffic_ground_truth_ip_window,warmup_normal_baseline,126
