model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.7787234042553192,0.9384615384615385,0.8511627906976744,0.8593406593406593,416,104,24,366,0.9626528599605523,0.9568407086254653,0.4907777711023955,0.9573170731707317,0.8051282051282052,0.8746518105849582,506,14,76,314,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest_tuned,0.5424200278164116,1.0,0.7033363390441839,0.6384615384615384,191,329,0,390,0.9832889546351085,0.9363896608110946,0.17426299678577228,0.9567430025445293,0.9641025641025641,0.9604086845466157,503,17,14,376,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ocsvm,0.5424200278164116,1.0,0.7033363390441839,0.6384615384615384,191,329,0,390,0.9999852071005917,0.9999804017320375,9.025278267772697,1.0,0.9974358974358974,0.9987163029525032,520,0,1,389,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest,0.5394190871369294,1.0,0.7008086253369272,0.634065934065934,187,333,0,390,0.9996449704142011,0.9995286668072354,0.21450725672945947,0.9923076923076923,0.9923076923076923,0.9923076923076923,517,3,3,387,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ensemble_majority_vote,0.5386740331491713,1.0,0.7001795332136446,0.6329670329670329,186,334,0,390,0.9997041420118343,0.9995982183547898,3.0376195699113295,0.9923664122137404,1.0,0.9961685823754789,517,3,0,390,traffic_ground_truth_ip_window,warmup_normal_baseline,126
