model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.5330578512396694,1.0,0.6954177897574124,0.6278814489571899,185,339,0,387,0.9586859182989131,0.9493348515632231,3.855012320920326,0.9538461538461539,0.8010335917312662,0.8707865168539326,509,15,77,310,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ensemble_majority_vote,0.5286885245901639,1.0,0.6916890080428955,0.6212952799121844,179,345,0,387,0.9937471645265006,0.9905667903930635,5.096956310886927,0.9393203883495146,1.0,0.9687108886107634,499,25,0,387,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest,0.5265306122448979,1.0,0.6898395721925134,0.6180021953896817,176,348,0,387,0.9950194291575438,0.9935508313825538,0.22872080254988153,0.9761273209549072,0.9509043927648578,0.963350785340314,515,9,19,368,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest_tuned,0.5265306122448979,1.0,0.6898395721925134,0.6180021953896817,176,348,0,387,0.7955993451289031,0.5831109347574331,0.20733668935697092,0.7369565217391304,0.875968992248062,0.8004722550177096,403,121,48,339,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ocsvm,0.522972972972973,1.0,0.686779059449867,0.6125137211855104,171,353,0,387,0.9980916030534351,0.9974293059125964,11.470937966886906,0.9948586118251928,1.0,0.9974226804123711,522,2,0,387,traffic_ground_truth_ip_window,warmup_normal_baseline,126
