model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.8672199170124482,0.9952380952380953,0.926829268292683,0.9212410501193318,177,32,1,209,0.987924356345409,0.988711532106797,1.1092981974198932,1.0,0.8761904761904762,0.934010152284264,209,0,26,184,traffic_ground_truth_ip_window,warmup_normal_baseline,42
ensemble_majority_vote,0.8333333333333334,1.0,0.9090909090909091,0.8997613365155132,167,42,0,210,1.0,1.0,0.9953326734651786,1.0,1.0,1.0,209,0,0,210,traffic_ground_truth_ip_window,warmup_normal_baseline,42
ocsvm,0.7894736842105263,1.0,0.8823529411764706,0.8663484486873508,153,56,0,210,1.0,1.0,2.9288293494413655,1.0,1.0,1.0,209,0,0,210,traffic_ground_truth_ip_window,warmup_normal_baseline,42
isolation_forest_tuned,0.7865168539325843,1.0,0.8805031446540881,0.863961813842482,152,57,0,210,1.0,1.0,0.14704665308908893,1.0,1.0,1.0,209,0,0,210,traffic_ground_truth_ip_window,warmup_normal_baseline,42
isolation_forest,0.7777777777777778,1.0,0.875,0.8568019093078759,149,60,0,210,1.0,1.0,0.20857053199916892,1.0,1.0,1.0,209,0,0,210,traffic_ground_truth_ip_window,warmup_normal_baseline,42
rule_based_baseline,0.6818181818181818,1.0,0.8108108108108109,0.766109785202864,111,98,0,210,0.9459330143540671,0.9522657619103936,3.6666666666666665,0.799163179916318,0.9095238095238095,0.8507795100222717,161,48,19,191,traffic_ground_truth_ip_window,rule_based_baseline,0
