model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.5358126721763086,1.0,0.6977578475336322,0.6304824561403509,186,337,0,389,0.9891519658682605,0.9868213445021204,3.2112904117204,0.964769647696477,0.9151670951156813,0.9393139841688655,510,13,33,356,traffic_ground_truth_ip_window,warmup_normal_baseline,126
isolation_forest,0.5321477428180574,1.0,0.6946428571428571,0.625,181,342,0,389,0.9748828933333988,0.9031597659160187,0.20266730037023495,0.9534313725490197,1.0,0.9761606022584692,504,19,0,389,traffic_ground_truth_ip_window,warmup_normal_baseline,126
ocsvm,0.5299727520435967,1.0,0.692787177203918,0.6217105263157895,178,345,0,389,1.0,1.0,7.880417056409048,1.0,1.0,1.0,523,0,0,389,traffic_ground_truth_ip_window,warmup_normal_baseline,126
