"scenario","run","seed","model","precision","recall","f1","accuracy","true_negatives","false_positives","false_negatives","true_positives","roc_auc","pr_auc","best_threshold","best_precision","best_recall","best_f1","best_true_negatives","best_false_positives","best_false_negatives","best_true_positives","label_source","evaluation_mode","train_samples"
"balanced","5","1005","ensemble_majority_vote","0.462633451957295","1","0.632603406326034","0.715630885122411","250","151","0","130","1","1","2.28244931078434","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","5","1005","ocsvm","0.460992907801418","1","0.631067961165049","0.713747645951036","249","152","0","130","1","1","6.57101470697296","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","5","1005","isolation_forest_tuned","0.371428571428571","1","0.541666666666667","0.585687382297552","181","220","0","130","0.992058315749089","0.912527338248425","0.153585642597612","0.962962962962963","1","0.981132075471698","396","5","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","5","1005","isolation_forest","0.362116991643454","1","0.531697341513292","0.568738229755179","172","229","0","130","0.991137540763476","0.906363509520227","0.167381290518691","0.955882352941177","1","0.977443609022556","395","6","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","6","1006","lof","0.55793991416309","1","0.716253443526171","0.806026365348399","298","103","0","130","0.999175139075388","0.997560716081767","0.514814621964096","0.992063492063492","0.961538461538462","0.9765625","400","1","5","125","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","6","1006","ensemble_majority_vote","0.407523510971787","1","0.579064587973274","0.644067796610169","212","189","0","130","1","1","2.09773185065204","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","6","1006","isolation_forest","0.384615384615385","1","0.555555555555556","0.608286252354049","193","208","0","130","0.958354114713217","0.739663937466001","0.115940009823517","0.860927152317881","1","0.925266903914591","380","21","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","6","1006","ocsvm","0.382352941176471","1","0.553191489361702","0.604519774011299","191","210","0","130","1","1","5.97367738758375","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","6","1006","isolation_forest_tuned","0.377906976744186","1","0.548523206751055","0.5969868173258","187","214","0","130","0.966679455208133","0.812698073969636","0.110477651483401","0.87248322147651","1","0.931899641577061","382","19","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","7","1007","lof","0.611111111111111","0.930769230769231","0.73780487804878","0.837429111531191","322","77","9","121","0.979834200886832","0.967357534654627","0.704163414543528","0.991803278688525","0.930769230769231","0.96031746031746","398","1","9","121","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","7","1007","ensemble_majority_vote","0.422077922077922","1","0.593607305936073","0.66351606805293","221","178","0","130","1","1","2.304352824906","1","1","1","399","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","7","1007","ocsvm","0.419354838709677","1","0.590909090909091","0.659735349716446","219","180","0","130","1","1","6.8837317374887","1","1","1","399","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","7","1007","isolation_forest","0.343915343915344","1","0.511811023622047","0.531190926275992","151","248","0","130","0.996356275303644","0.928501416754435","0.170922664106451","0.962686567164179","0.992307692307692","0.977272727272727","394","5","1","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","7","1007","isolation_forest_tuned","0.336787564766839","1","0.503875968992248","0.516068052930057","143","256","0","130","0.996047811837286","0.975809862126512","0.15019693812866","0.984732824427481","0.992307692307692","0.988505747126437","397","2","1","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","8","1008","lof","0.407166123778502","0.961538461538462","0.5720823798627","0.647834274952919","219","182","5","125","0.974179934778438","0.965772940594234","0.913877193778676","0.983870967741935","0.938461538461538","0.960629921259843","399","2","8","122","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","8","1008","ocsvm","0.4","1","0.571428571428571","0.632768361581921","206","195","0","130","1","1","6.07683509703058","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","8","1008","ensemble_majority_vote","0.382352941176471","1","0.553191489361702","0.604519774011299","191","210","0","130","1","1","2.06427767795519","1","1","1","401","0","0","130","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","8","1008","isolation_forest_tuned","0.369318181818182","1","0.539419087136929","0.581920903954802","179","222","0","130","0.997352771916363","0.987380685527519","0.129734892326754","0.969465648854962","0.976923076923077","0.973180076628352","397","4","3","127","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","8","1008","isolation_forest","0.3601108033241","1","0.529531568228106","0.564971751412429","170","231","0","130","0.997295223479762","0.993196387755422","0.15396429081358","0.969230769230769","0.969230769230769","0.969230769230769","397","4","4","126","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","9","1009","ocsvm","0.325757575757576","1","0.491428571428571","0.49622641509434","134","267","0","129","1","1","6.98642586174614","1","1","1","401","0","0","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","9","1009","lof","0.324120603015075","1","0.489563567362429","0.492452830188679","132","269","0","129","0.999072087223801","0.997158621680544","2.01383730388816","0.955555555555556","1","0.977272727272727","395","6","0","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","9","1009","ensemble_majority_vote","0.324120603015075","1","0.489563567362429","0.492452830188679","132","269","0","129","1","1","3.06274830675306","1","1","1","401","0","0","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","9","1009","isolation_forest_tuned","0.321695760598504","1","0.486792452830189","0.486792452830189","129","272","0","129","0.946490363239189","0.71750200497571","0.146939308313469","0.791411042944785","1","0.883561643835617","367","34","0","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","9","1009","isolation_forest","0.317733990147783","1","0.482242990654206","0.477358490566038","124","277","0","129","0.942508070908001","0.71038372917329","0.173269702331608","0.767857142857143","1","0.868686868686869","362","39","0","129","traffic_ground_truth_ip_window","warmup_normal_baseline","96"
"balanced","10","1010","lof","0.568720379146919","0.9375","0.707964601769911","0.811428571428571","306","91","8","120","0.980025976070529","0.966819516805192","1.00018095491375","1","0.9296875","0.963562753036437","397","0","9","119","traffic_ground_truth_ip_window","warmup_normal_baseline","92"
