model,point_index,fpr,tpr,roc_auc
isolation_forest,0,0.0,0.0,0.9999475203358699
isolation_forest,1,0.0,0.06563706563706563,0.9999475203358699
isolation_forest,2,0.0,0.14478764478764478,0.9999475203358699
isolation_forest,3,0.0,0.14864864864864866,0.9999475203358699
isolation_forest,4,0.0,0.28185328185328185,0.9999475203358699
isolation_forest,5,0.0,0.32625482625482627,0.9999475203358699
isolation_forest,6,0.0,0.3281853281853282,0.9999475203358699
isolation_forest,7,0.0,0.3532818532818533,0.9999475203358699
isolation_forest,8,0.0,0.35714285714285715,0.9999475203358699
isolation_forest,9,0.0,0.6081081081081081,0.9999475203358699
isolation_forest,10,0.0,0.9208494208494209,0.9999475203358699
isolation_forest,11,0.0,0.9266409266409267,0.9999475203358699
isolation_forest,12,0.0,0.9420849420849421,0.9999475203358699
isolation_forest,13,0.0,0.9536679536679536,0.9999475203358699
isolation_forest,14,0.0,0.9575289575289575,0.9999475203358699
isolation_forest,15,0.0,0.9633204633204633,0.9999475203358699
isolation_forest,16,0.0,0.971042471042471,0.9999475203358699
isolation_forest,17,0.0,0.972972972972973,0.9999475203358699
isolation_forest,18,0.001941747572815534,0.972972972972973,0.9999475203358699
isolation_forest,19,0.001941747572815534,0.974903474903475,0.9999475203358699
isolation_forest,20,0.001941747572815534,0.9980694980694981,0.9999475203358699
isolation_forest,21,0.001941747572815534,1.0,0.9999475203358699
isolation_forest,22,0.005825242718446602,1.0,0.9999475203358699
isolation_forest,23,0.011650485436893204,1.0,0.9999475203358699
isolation_forest,24,0.017475728155339806,1.0,0.9999475203358699
isolation_forest,25,0.027184466019417475,1.0,0.9999475203358699
isolation_forest,26,0.031067961165048542,1.0,0.9999475203358699
isolation_forest,27,0.03300970873786408,1.0,0.9999475203358699
isolation_forest,28,0.04854368932038835,1.0,0.9999475203358699
isolation_forest,29,0.11844660194174757,1.0,0.9999475203358699
isolation_forest,30,0.13592233009708737,1.0,0.9999475203358699
isolation_forest,31,0.16116504854368932,1.0,0.9999475203358699
isolation_forest,32,0.16893203883495145,1.0,0.9999475203358699
isolation_forest,33,0.18446601941747573,1.0,0.9999475203358699
isolation_forest,34,0.19223300970873786,1.0,0.9999475203358699
isolation_forest,35,0.22135922330097088,1.0,0.9999475203358699
isolation_forest,36,0.229126213592233,1.0,0.9999475203358699
isolation_forest,37,0.23300970873786409,1.0,0.9999475203358699
isolation_forest,38,0.2446601941747573,1.0,0.9999475203358699
isolation_forest,39,0.2563106796116505,1.0,0.9999475203358699
isolation_forest,40,0.26019417475728157,1.0,0.9999475203358699
isolation_forest,41,0.3067961165048544,1.0,0.9999475203358699
isolation_forest,42,0.3087378640776699,1.0,0.9999475203358699
isolation_forest,43,0.31844660194174756,1.0,0.9999475203358699
isolation_forest,44,0.32233009708737864,1.0,0.9999475203358699
isolation_forest,45,0.3300970873786408,1.0,0.9999475203358699
isolation_forest,46,0.3339805825242718,1.0,0.9999475203358699
isolation_forest,47,0.3378640776699029,1.0,0.9999475203358699
isolation_forest,48,0.34368932038834954,1.0,0.9999475203358699
