model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.26353790613718414,0.9358974358974359,0.4112676056338028,0.47880299251870323,238,408,10,146,0.9463016988171787,0.9446950197106473,23.292556216119717,1.0,0.9230769230769231,0.9600000000000001,646,0,12,144,traffic_ground_truth_ip_window,warmup_normal_baseline,156
ocsvm,0.26194690265486725,0.9487179487179487,0.4105409153952843,0.470074812967581,229,417,8,148,0.9498342859410971,0.9380289187464215,10.211273648534869,0.9863013698630136,0.9230769230769231,0.9536423841059603,644,2,12,144,traffic_ground_truth_ip_window,warmup_normal_baseline,156
isolation_forest,0.2601054481546573,0.9487179487179487,0.40827586206896554,0.46508728179551123,225,421,8,148,0.4935748590934349,0.1633632184218984,0.11580118319530852,0.31317494600431967,0.9294871794871795,0.4684975767366721,328,318,11,145,traffic_ground_truth_ip_window,warmup_normal_baseline,156
