model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.4431818181818182,1.0,0.6141732283464567,0.7571251548946716,455,196,0,156,0.997513687029816,0.9945493778670579,2.119460029813048,1.0,0.9743589743589743,0.9870129870129869,651,0,4,152,traffic_ground_truth_ip_window,warmup_normal_baseline,156
ocsvm,0.3974358974358974,0.9935897435897436,0.5677655677655677,0.7075588599752168,416,235,1,155,0.9931712552680294,0.9844131666254694,9.85011949318598,1.0,0.9230769230769231,0.9600000000000001,651,0,12,144,traffic_ground_truth_ip_window,warmup_normal_baseline,156
isolation_forest,0.3025540275049116,0.9871794871794872,0.4631578947368421,0.5576208178438662,296,355,2,154,0.9588650596715114,0.4366784536410017,0.14722535720399754,0.8742857142857143,0.9807692307692307,0.9244712990936557,629,22,3,153,traffic_ground_truth_ip_window,warmup_normal_baseline,156
