model,point_index,recall,precision,pr_auc
isolation_forest,0,1.0,0.2319309600862999,0.9971845405202757
isolation_forest,1,1.0,0.23420479302832245,0.9971845405202757
isolation_forest,2,1.0,0.23626373626373626,0.9971845405202757
isolation_forest,3,1.0,0.23730684326710816,0.9971845405202757
isolation_forest,4,1.0,0.2388888888888889,0.9971845405202757
isolation_forest,5,1.0,0.24130190796857465,0.9971845405202757
isolation_forest,6,1.0,0.24184476940382452,0.9971845405202757
isolation_forest,7,1.0,0.2434881087202718,0.9971845405202757
isolation_forest,8,1.0,0.2454337899543379,0.9971845405202757
isolation_forest,9,1.0,0.24769585253456222,0.9971845405202757
isolation_forest,10,1.0,0.24913093858632676,0.9971845405202757
isolation_forest,11,1.0,0.25146198830409355,0.9971845405202757
isolation_forest,12,1.0,0.2526439482961222,0.9971845405202757
isolation_forest,13,1.0,0.2535377358490566,0.9971845405202757
isolation_forest,14,1.0,0.25595238095238093,0.9971845405202757
isolation_forest,15,1.0,0.25686977299880526,0.9971845405202757
isolation_forest,16,1.0,0.25841346153846156,0.9971845405202757
isolation_forest,17,1.0,0.25966183574879226,0.9971845405202757
isolation_forest,18,1.0,0.2609223300970874,0.9971845405202757
isolation_forest,19,1.0,0.2618757612667479,0.9971845405202757
isolation_forest,20,1.0,0.2628361858190709,0.9971845405202757
isolation_forest,21,1.0,0.26348039215686275,0.9971845405202757
isolation_forest,22,1.0,0.2654320987654321,0.9971845405202757
isolation_forest,23,1.0,0.2657601977750309,0.9971845405202757
isolation_forest,24,1.0,0.26807980049875313,0.9971845405202757
isolation_forest,25,1.0,0.2697616060225847,0.9971845405202757
isolation_forest,26,1.0,0.27044025157232704,0.9971845405202757
isolation_forest,27,1.0,0.27146464646464646,0.9971845405202757
isolation_forest,28,1.0,0.2718078381795196,0.9971845405202757
isolation_forest,29,1.0,0.2721518987341772,0.9971845405202757
isolation_forest,30,1.0,0.2731893265565438,0.9971845405202757
isolation_forest,31,1.0,0.274234693877551,0.9971845405202757
isolation_forest,32,1.0,0.2763496143958869,0.9971845405202757
isolation_forest,33,1.0,0.2767052767052767,0.9971845405202757
isolation_forest,34,1.0,0.27849740932642486,0.9971845405202757
isolation_forest,35,1.0,0.2792207792207792,0.9971845405202757
isolation_forest,36,1.0,0.2803129074315515,0.9971845405202757
isolation_forest,37,1.0,0.281413612565445,0.9971845405202757
isolation_forest,38,1.0,0.28289473684210525,0.9971845405202757
isolation_forest,39,1.0,0.28326745718050067,0.9971845405202757
isolation_forest,40,1.0,0.28401585204755614,0.9971845405202757
isolation_forest,41,1.0,0.2843915343915344,0.9971845405202757
isolation_forest,42,1.0,0.28936742934051146,0.9971845405202757
isolation_forest,43,1.0,0.28975741239892183,0.9971845405202757
isolation_forest,44,1.0,0.29093369418132614,0.9971845405202757
isolation_forest,45,1.0,0.2921195652173913,0.9971845405202757
isolation_forest,46,1.0,0.2925170068027211,0.9971845405202757
