model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
rule_based_baseline,0.6163265306122448,1.0,0.7626262626262627,0.833922261484099,321,94,0,151,0.9964812893959945,0.9905177603853099,2.0,0.9805194805194806,1.0,0.9901639344262295,412,3,0,151,traffic_ground_truth_ip_window,rule_based_baseline,0
lof,0.5392857142857143,1.0,0.7006960556844548,0.7720848056537103,286,129,0,151,0.9745631532753531,0.9157835353782209,0.07785687324738433,0.8579545454545454,1.0,0.9235474006116208,390,25,0,151,traffic_ground_truth_ip_window,warmup_normal_baseline,72
isolation_forest,0.5033333333333333,1.0,0.6696230598669624,0.7367491166077739,266,149,0,151,0.9996489268331604,0.9989603721478939,0.19186836926601608,0.993421052631579,1.0,0.9966996699669968,414,1,0,151,traffic_ground_truth_ip_window,warmup_normal_baseline,72
isolation_forest_tuned,0.5016611295681063,1.0,0.668141592920354,0.734982332155477,265,150,0,151,0.9996489268331603,0.9989603721478939,0.15728635991614182,0.993421052631579,1.0,0.9966996699669968,414,1,0,151,traffic_ground_truth_ip_window,warmup_normal_baseline,72
ensemble_majority_vote,0.48242811501597443,1.0,0.6508620689655172,0.7137809187279152,253,162,0,151,1.0,0.9999999999999999,1.7178220998633895,1.0,1.0,1.0,415,0,0,151,traffic_ground_truth_ip_window,warmup_normal_baseline,72
ocsvm,0.48089171974522293,1.0,0.6494623655913978,0.7120141342756183,252,163,0,151,1.0,1.0,4.883741057076768,1.0,1.0,1.0,415,0,0,151,traffic_ground_truth_ip_window,warmup_normal_baseline,72
