model,point_index,fpr,tpr,roc_auc
isolation_forest,0,0.0,0.0,0.9992030310948523
isolation_forest,1,0.0,0.08837209302325581,0.9992030310948523
isolation_forest,2,0.0,0.11162790697674418,0.9992030310948523
isolation_forest,3,0.0,0.11627906976744186,0.9992030310948523
isolation_forest,4,0.0,0.12558139534883722,0.9992030310948523
isolation_forest,5,0.0,0.13488372093023257,0.9992030310948523
isolation_forest,6,0.0,0.17209302325581396,0.9992030310948523
isolation_forest,7,0.0,0.26976744186046514,0.9992030310948523
isolation_forest,8,0.0,0.2744186046511628,0.9992030310948523
isolation_forest,9,0.0,0.33488372093023255,0.9992030310948523
isolation_forest,10,0.0,0.3395348837209302,0.9992030310948523
isolation_forest,11,0.0,0.3627906976744186,0.9992030310948523
isolation_forest,12,0.0,0.4232558139534884,0.9992030310948523
isolation_forest,13,0.0,0.42790697674418604,0.9992030310948523
isolation_forest,14,0.0,0.4790697674418605,0.9992030310948523
isolation_forest,15,0.0,0.5674418604651162,0.9992030310948523
isolation_forest,16,0.0,0.786046511627907,0.9992030310948523
isolation_forest,17,0.0014044943820224719,0.786046511627907,0.9992030310948523
isolation_forest,18,0.0014044943820224719,0.8232558139534883,0.9992030310948523
isolation_forest,19,0.0028089887640449437,0.8232558139534883,0.9992030310948523
isolation_forest,20,0.0056179775280898875,1.0,0.9992030310948523
isolation_forest,21,0.008426966292134831,1.0,0.9992030310948523
isolation_forest,22,0.014044943820224719,1.0,0.9992030310948523
isolation_forest,23,0.018258426966292134,1.0,0.9992030310948523
isolation_forest,24,0.023876404494382022,1.0,0.9992030310948523
isolation_forest,25,0.0449438202247191,1.0,0.9992030310948523
isolation_forest,26,0.047752808988764044,1.0,0.9992030310948523
isolation_forest,27,0.06320224719101124,1.0,0.9992030310948523
isolation_forest,28,0.07865168539325842,1.0,0.9992030310948523
isolation_forest,29,0.08146067415730338,1.0,0.9992030310948523
isolation_forest,30,0.08286516853932584,1.0,0.9992030310948523
isolation_forest,31,0.09831460674157304,1.0,0.9992030310948523
isolation_forest,32,0.0997191011235955,1.0,0.9992030310948523
isolation_forest,33,0.10252808988764045,1.0,0.9992030310948523
isolation_forest,34,0.10814606741573034,1.0,0.9992030310948523
isolation_forest,35,0.11095505617977527,1.0,0.9992030310948523
isolation_forest,36,0.11376404494382023,1.0,0.9992030310948523
isolation_forest,37,0.11797752808988764,1.0,0.9992030310948523
isolation_forest,38,0.12078651685393259,1.0,0.9992030310948523
isolation_forest,39,0.125,1.0,0.9992030310948523
isolation_forest,40,0.12640449438202248,1.0,0.9992030310948523
isolation_forest,41,0.12921348314606743,1.0,0.9992030310948523
isolation_forest,42,0.199438202247191,1.0,0.9992030310948523
isolation_forest,43,0.20224719101123595,1.0,0.9992030310948523
isolation_forest,44,0.20646067415730338,1.0,0.9992030310948523
isolation_forest,45,0.2303370786516854,1.0,0.9992030310948523
isolation_forest,46,0.2345505617977528,1.0,0.9992030310948523
isolation_forest,47,0.23735955056179775,1.0,0.9992030310948523
isolation_forest,48,0.2401685393258427,1.0,0.9992030310948523
isolation_forest,49,0.24297752808988765,1.0,0.9992030310948523
isolation_forest,50,0.2443820224719101,1.0,0.9992030310948523
isolation_forest,51,0.2710674157303371,1.0,0.9992030310948523
isolation_forest,52,0.2794943820224719,1.0,0.9992030310948523
isolation_forest,53,0.28230337078651685,1.0,0.9992030310948523
isolation_forest,54,0.28370786516853935,1.0,0.9992030310948523
isolation_forest,55,0.2949438202247191,1.0,0.9992030310948523
isolation_forest,56,0.29634831460674155,1.0,0.9992030310948523
isolation_forest,57,0.300561797752809,1.0,0.9992030310948523
isolation_forest,58,0.30196629213483145,1.0,0.9992030310948523
isolation_forest,59,0.3356741573033708,1.0,0.9992030310948523
isolation_forest,60,0.34831460674157305,1.0,0.9992030310948523
isolation_forest,61,0.3609550561797753,1.0,0.9992030310948523
isolation_forest,62,0.36657303370786515,1.0,0.9992030310948523
isolation_forest,63,0.36797752808988765,1.0,0.9992030310948523
isolation_forest,64,0.3707865168539326,1.0,0.9992030310948523
isolation_forest,65,0.49859550561797755,1.0,0.9992030310948523
isolation_forest,66,0.5070224719101124,1.0,0.9992030310948523
isolation_forest,67,0.5098314606741573,1.0,0.9992030310948523
isolation_forest,68,0.5112359550561798,1.0,0.9992030310948523
isolation_forest,69,0.5140449438202247,1.0,0.9992030310948523
