model,point_index,recall,precision,pr_auc
isolation_forest,0,1.0,0.23575418994413408,0.9990577343895342
isolation_forest,1,1.0,0.2376126126126126,0.9990577343895342
isolation_forest,2,1.0,0.24059293044469784,0.9990577343895342
isolation_forest,3,1.0,0.24169530355097366,0.9990577343895342
isolation_forest,4,1.0,0.2433679354094579,0.9990577343895342
isolation_forest,5,1.0,0.24449594438006952,0.9990577343895342
isolation_forest,6,1.0,0.24794359576968272,0.9990577343895342
isolation_forest,7,1.0,0.24852767962308597,0.9990577343895342
isolation_forest,8,1.0,0.25029655990510086,0.9990577343895342
isolation_forest,9,1.0,0.25269461077844313,0.9990577343895342
isolation_forest,10,1.0,0.25421686746987954,0.9990577343895342
isolation_forest,11,1.0,0.2551390568319226,0.9990577343895342
isolation_forest,12,1.0,0.25544794188861986,0.9990577343895342
isolation_forest,13,1.0,0.2576312576312576,0.9990577343895342
isolation_forest,14,1.0,0.2588957055214724,0.9990577343895342
isolation_forest,15,1.0,0.26081582200247216,0.9990577343895342
isolation_forest,16,1.0,0.26243781094527363,0.9990577343895342
isolation_forest,17,1.0,0.2650753768844221,0.9990577343895342
isolation_forest,18,1.0,0.2667509481668774,0.9990577343895342
isolation_forest,19,1.0,0.2681067344345616,0.9990577343895342
isolation_forest,20,1.0,0.26878980891719745,0.9990577343895342
isolation_forest,21,1.0,0.26982097186700765,0.9990577343895342
isolation_forest,22,1.0,0.2705128205128205,0.9990577343895342
isolation_forest,23,1.0,0.27190721649484534,0.9990577343895342
isolation_forest,24,1.0,0.27367055771725035,0.9990577343895342
isolation_forest,25,1.0,0.2761780104712042,0.9990577343895342
isolation_forest,26,1.0,0.2791005291005291,0.9990577343895342
isolation_forest,27,1.0,0.27947019867549666,0.9990577343895342
isolation_forest,28,1.0,0.28021248339973437,0.9990577343895342
isolation_forest,29,1.0,0.2824631860776439,0.9990577343895342
isolation_forest,30,1.0,0.28360215053763443,0.9990577343895342
isolation_forest,31,1.0,0.2851351351351351,0.9990577343895342
isolation_forest,32,1.0,0.2859078590785908,0.9990577343895342
isolation_forest,33,1.0,0.28746594005449594,0.9990577343895342
isolation_forest,34,1.0,0.28904109589041094,0.9990577343895342
isolation_forest,35,1.0,0.289437585733882,0.9990577343895342
isolation_forest,36,1.0,0.2902338376891334,0.9990577343895342
isolation_forest,37,1.0,0.290633608815427,0.9990577343895342
isolation_forest,38,1.0,0.2910344827586207,0.9990577343895342
isolation_forest,39,1.0,0.29305555555555557,0.9990577343895342
isolation_forest,40,1.0,0.29346314325452016,0.9990577343895342
isolation_forest,41,1.0,0.29428172942817293,0.9990577343895342
isolation_forest,42,1.0,0.2946927374301676,0.9990577343895342
isolation_forest,43,1.0,0.29634831460674155,0.9990577343895342
isolation_forest,44,1.0,0.2967651195499297,0.9990577343895342
isolation_forest,45,1.0,0.2971830985915493,0.9990577343895342
isolation_forest,46,1.0,0.2984441301272984,0.9990577343895342
isolation_forest,47,1.0,0.2988668555240793,0.9990577343895342
isolation_forest,48,1.0,0.2997159090909091,0.9990577343895342
isolation_forest,49,1.0,0.3005698005698006,0.9990577343895342
isolation_forest,50,1.0,0.30099857346647646,0.9990577343895342
isolation_forest,51,1.0,0.30142857142857143,0.9990577343895342
isolation_forest,52,1.0,0.3022922636103152,0.9990577343895342
isolation_forest,53,1.0,0.3031609195402299,0.9990577343895342
isolation_forest,54,1.0,0.30403458213256485,0.9990577343895342
isolation_forest,55,1.0,0.30447330447330445,0.9990577343895342
isolation_forest,56,1.0,0.3053545586107091,0.9990577343895342
isolation_forest,57,1.0,0.3071324599708879,0.9990577343895342
isolation_forest,58,1.0,0.3075801749271137,0.9990577343895342
isolation_forest,59,1.0,0.3093841642228739,0.9990577343895342
isolation_forest,60,1.0,0.30983847283406757,0.9990577343895342
isolation_forest,61,1.0,0.31029411764705883,0.9990577343895342
isolation_forest,62,1.0,0.3112094395280236,0.9990577343895342
isolation_forest,63,1.0,0.3121301775147929,0.9990577343895342
isolation_forest,64,1.0,0.3125925925925926,0.9990577343895342
isolation_forest,65,1.0,0.3135215453194651,0.9990577343895342
isolation_forest,66,1.0,0.31492537313432833,0.9990577343895342
isolation_forest,67,1.0,0.3153961136023916,0.9990577343895342
isolation_forest,68,1.0,0.3158682634730539,0.9990577343895342
isolation_forest,69,1.0,0.32213740458015266,0.9990577343895342
isolation_forest,70,1.0,0.32262996941896027,0.9990577343895342
isolation_forest,71,1.0,0.3236196319018405,0.9990577343895342
isolation_forest,72,1.0,0.3241167434715822,0.9990577343895342
isolation_forest,73,1.0,0.325115562403698,0.9990577343895342
isolation_forest,74,1.0,0.3261205564142195,0.9990577343895342
isolation_forest,75,1.0,0.326625386996904,0.9990577343895342
isolation_forest,76,1.0,0.32866043613707163,0.9990577343895342
isolation_forest,77,1.0,0.3291731669266771,0.9990577343895342
isolation_forest,78,1.0,0.3296875,0.9990577343895342
isolation_forest,79,1.0,0.33072100313479624,0.9990577343895342
isolation_forest,80,1.0,0.33280757097791797,0.9990577343895342
isolation_forest,81,1.0,0.33438985736925514,0.9990577343895342
isolation_forest,82,1.0,0.3354531001589825,0.9990577343895342
isolation_forest,83,1.0,0.3359872611464968,0.9990577343895342
isolation_forest,84,1.0,0.3365231259968102,0.9990577343895342
isolation_forest,85,1.0,0.33706070287539935,0.9990577343895342
isolation_forest,86,1.0,0.33814102564102566,0.9990577343895342
isolation_forest,87,1.0,0.3397745571658615,0.9990577343895342
isolation_forest,88,1.0,0.3414239482200647,0.9990577343895342
isolation_forest,89,1.0,0.3453355155482815,0.9990577343895342
isolation_forest,90,1.0,0.34590163934426227,0.9990577343895342
isolation_forest,91,1.0,0.3470394736842105,0.9990577343895342
isolation_forest,92,1.0,0.34761120263591433,0.9990577343895342
isolation_forest,93,1.0,0.35823429541595925,0.9990577343895342
isolation_forest,94,1.0,0.358843537414966,0.9990577343895342
isolation_forest,95,1.0,0.36006825938566556,0.9990577343895342
isolation_forest,96,1.0,0.3606837606837607,0.9990577343895342
isolation_forest,97,1.0,0.36192109777015435,0.9990577343895342
isolation_forest,98,1.0,0.36254295532646047,0.9990577343895342
isolation_forest,99,1.0,0.36316695352839934,0.9990577343895342
isolation_forest,100,1.0,0.36379310344827587,0.9990577343895342
isolation_forest,101,1.0,0.3644214162348877,0.9990577343895342
isolation_forest,102,1.0,0.36568457538994803,0.9990577343895342
isolation_forest,103,1.0,0.3663194444444444,0.9990577343895342
isolation_forest,104,1.0,0.36695652173913046,0.9990577343895342
isolation_forest,105,1.0,0.367595818815331,0.9990577343895342
isolation_forest,106,1.0,0.36952714535901926,0.9990577343895342
isolation_forest,107,1.0,0.38786764705882354,0.9990577343895342
isolation_forest,108,1.0,0.3892988929889299,0.9990577343895342
isolation_forest,109,1.0,0.4850574712643678,0.9990577343895342
isolation_forest,110,1.0,0.48842592592592593,0.9990577343895342
isolation_forest,111,1.0,0.4906976744186046,0.9990577343895342
isolation_forest,112,1.0,0.49184149184149184,0.9990577343895342
isolation_forest,113,1.0,0.4929906542056075,0.9990577343895342
isolation_forest,114,1.0,0.49414519906323184,0.9990577343895342
isolation_forest,115,1.0,0.4953051643192488,0.9990577343895342
isolation_forest,116,1.0,0.5072115384615384,0.9990577343895342
isolation_forest,117,1.0,0.5108958837772397,0.9990577343895342
isolation_forest,118,1.0,0.5121359223300971,0.9990577343895342
isolation_forest,119,1.0,0.51338199513382,0.9990577343895342
isolation_forest,120,1.0,0.5158924205378973,0.9990577343895342
isolation_forest,121,1.0,0.5171568627450981,0.9990577343895342
isolation_forest,122,1.0,0.5314861460957179,0.9990577343895342
isolation_forest,123,1.0,0.5328282828282829,0.9990577343895342
isolation_forest,124,1.0,0.5341772151898734,0.9990577343895342
isolation_forest,125,1.0,0.5355329949238579,0.9990577343895342
isolation_forest,126,1.0,0.5368956743002544,0.9990577343895342
isolation_forest,127,1.0,0.5382653061224489,0.9990577343895342
isolation_forest,128,1.0,0.6279761904761905,0.9990577343895342
isolation_forest,129,1.0,0.6317365269461078,0.9990577343895342
isolation_forest,130,1.0,0.6336336336336337,0.9990577343895342
isolation_forest,131,1.0,0.6374622356495468,0.9990577343895342
isolation_forest,132,1.0,0.6413373860182371,0.9990577343895342
isolation_forest,133,1.0,0.6432926829268293,0.9990577343895342
isolation_forest,134,1.0,0.6784565916398714,0.9990577343895342
isolation_forest,135,1.0,0.6828478964401294,0.9990577343895342
isolation_forest,136,1.0,0.685064935064935,0.9990577343895342
isolation_forest,137,1.0,0.6918032786885245,0.9990577343895342
isolation_forest,138,1.0,0.717687074829932,0.9990577343895342
isolation_forest,139,1.0,0.7250859106529209,0.9990577343895342
isolation_forest,140,1.0,0.7301038062283737,0.9990577343895342
isolation_forest,141,1.0,0.7326388888888888,0.9990577343895342
isolation_forest,142,1.0,0.735191637630662,0.9990577343895342
isolation_forest,143,1.0,0.7429577464788732,0.9990577343895342
isolation_forest,144,1.0,0.7535714285714286,0.9990577343895342
isolation_forest,145,1.0,0.7562724014336918,0.9990577343895342
isolation_forest,146,1.0,0.7589928057553957,0.9990577343895342
isolation_forest,147,1.0,0.7617328519855595,0.9990577343895342
isolation_forest,148,1.0,0.7644927536231884,0.9990577343895342
