model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
rule_based_baseline,0.5333333333333333,1.0,0.6956521739130435,0.7191011235955056,248,175,0,200,0.9034869976359338,0.7753208641636472,2.0,0.6756756756756757,1.0,0.8064516129032258,327,96,0,200,traffic_ground_truth_ip_window,rule_based_baseline,0
ocsvm,0.45045045045045046,1.0,0.6211180124223602,0.608346709470305,179,244,0,200,0.9998226950354611,0.999650347750489,5.578297816813131,1.0,0.995,0.9974937343358395,423,0,1,199,traffic_ground_truth_ip_window,warmup_normal_baseline,93
lof,0.4434589800443459,1.0,0.6144393241167435,0.5971107544141252,172,251,0,200,0.9603427895981088,0.9455782824624783,0.8927690130726407,0.9760479041916168,0.815,0.888283378746594,419,4,37,163,traffic_ground_truth_ip_window,warmup_normal_baseline,93
ensemble_majority_vote,0.4424778761061947,1.0,0.6134969325153374,0.5955056179775281,171,252,0,200,0.9984160756501181,0.9964060095899476,1.9331754990190706,0.9754901960784313,0.995,0.9851485148514851,418,5,1,199,traffic_ground_truth_ip_window,warmup_normal_baseline,93
isolation_forest,0.42430703624733473,0.995,0.5949177877428998,0.565008025682183,153,270,1,199,0.9954728132387707,0.9943634874689207,0.18748138473914616,0.9846938775510204,0.965,0.9747474747474748,420,3,7,193,traffic_ground_truth_ip_window,warmup_normal_baseline,93
isolation_forest_tuned,0.42430703624733473,0.995,0.5949177877428998,0.565008025682183,153,270,1,199,0.9927659574468085,0.9899457931527433,0.13307796995103316,0.9420289855072463,0.975,0.9582309582309583,411,12,5,195,traffic_ground_truth_ip_window,warmup_normal_baseline,93
