model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
ocsvm,0.4386206896551724,0.9968652037617555,0.6091954022988506,0.6256880733944954,364,407,1,318,0.9948180313804895,0.9929486249170449,11.156780871979604,0.9873417721518988,0.9780564263322884,0.9826771653543307,767,4,7,312,traffic_ground_truth_ip_window,warmup_normal_baseline,184
lof,0.4268456375838926,0.9968652037617555,0.5977443609022557,0.6073394495412844,344,427,1,318,0.9720572151137025,0.9584701690563538,1.2934015369874705,0.975609756097561,0.877742946708464,0.9240924092409241,764,7,39,280,traffic_ground_truth_ip_window,warmup_normal_baseline,184
isolation_forest,0.412987012987013,0.9968652037617555,0.5840220385674931,0.5844036697247706,319,452,1,318,0.9886033283322966,0.9861008204360134,0.17339254903490586,0.9742765273311897,0.9498432601880877,0.9619047619047619,763,8,16,303,traffic_ground_truth_ip_window,warmup_normal_baseline,184
