model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.4388586956521739,0.9938461538461538,0.6088595664467483,0.6220400728597449,360,413,2,323,0.9834073042093741,0.9748543995310475,0.49904208765878133,0.9551282051282052,0.916923076923077,0.9356357927786499,759,14,27,298,traffic_ground_truth_ip_window,warmup_normal_baseline,186
ocsvm,0.41191381495564006,1.0,0.5834829443447038,0.5774134790528234,309,464,0,325,0.9991541446910139,0.9979884083186509,8.932074868785312,0.9876160990712074,0.9815384615384616,0.9845679012345678,769,4,6,319,traffic_ground_truth_ip_window,warmup_normal_baseline,186
isolation_forest,0.4032258064516129,1.0,0.5747126436781609,0.5619307832422586,292,481,0,325,0.9799442730619962,0.9523300513807551,0.16035795469459557,0.9034267912772586,0.8923076923076924,0.8978328173374613,742,31,35,290,traffic_ground_truth_ip_window,warmup_normal_baseline,186
