model,precision,recall,f1,accuracy,roc_auc,pr_auc,label_source
lof,1.0,0.4,0.5714285714285714,0.6666666666666666,0.525,0.7098412698412697,traffic_ground_truth
isolation_forest,0.3333333333333333,0.2,0.25,0.3333333333333333,0.55,0.508095238095238,traffic_ground_truth
ocsvm,0.0,0.0,0.0,0.2222222222222222,0.2,0.3912698412698413,traffic_ground_truth
