model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.5726872246696035,1.0,0.7282913165266106,0.8166351606805293,302,97,0,130,0.9981299402352035,0.9948423191641406,0.8567640760610216,1.0,0.9384615384615385,0.9682539682539683,399,0,8,122,traffic_ground_truth_ip_window,warmup_normal_baseline,96
ocsvm,0.4421768707482993,1.0,0.6132075471698113,0.6899810964083176,235,164,0,130,1.0,1.0,5.346216520410988,1.0,1.0,1.0,399,0,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
isolation_forest,0.37572254335260113,1.0,0.5462184873949579,0.5916824196597353,183,216,0,130,1.0,0.9999999999999999,0.20575914044137844,1.0,1.0,1.0,399,0,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
