model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
isolation_forest_tuned,0.390625,1.0,0.5617977528089888,0.5979381443298969,66,78,0,50,0.99875,0.9961154164567181,0.15782916475862585,0.9803921568627451,1.0,0.99009900990099,143,1,0,50,traffic_ground_truth_ip_window,warmup_normal_baseline,32
lof,0.3875968992248062,1.0,0.5586592178770949,0.5927835051546392,65,79,0,50,1.0,1.0,0.7494079010382375,1.0,1.0,1.0,144,0,0,50,traffic_ground_truth_ip_window,warmup_normal_baseline,32
isolation_forest,0.35714285714285715,1.0,0.5263157894736842,0.5360824742268041,54,90,0,50,1.0,1.0,0.21907406799765838,1.0,1.0,1.0,144,0,0,50,traffic_ground_truth_ip_window,warmup_normal_baseline,32
rule_based_baseline,0.352112676056338,1.0,0.5208333333333334,0.5257731958762887,52,92,0,50,0.9972222222222223,0.9932183908045977,3.6666666666666665,1.0,0.96,0.9795918367346939,144,0,2,48,traffic_ground_truth_ip_window,rule_based_baseline,0
ensemble_majority_vote,0.34965034965034963,1.0,0.5181347150259067,0.520618556701031,51,93,0,50,1.0,1.0000000000000002,0.9211586347266771,1.0,1.0,1.0,144,0,0,50,traffic_ground_truth_ip_window,warmup_normal_baseline,32
ocsvm,0.33783783783783783,1.0,0.5050505050505051,0.4948453608247423,46,98,0,50,1.0,1.0,1.7940275470424705,1.0,1.0,1.0,144,0,0,50,traffic_ground_truth_ip_window,warmup_normal_baseline,32
