model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.4012345679012346,1.0,0.5726872246696035,0.6332703213610587,205,194,0,130,0.9999614420667053,0.9998816498017634,0.5193431717927324,0.9923664122137404,1.0,0.9961685823754789,398,1,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
ocsvm,0.4012345679012346,1.0,0.5726872246696035,0.6332703213610587,205,194,0,130,1.0,1.0,6.2051414075185365,1.0,1.0,1.0,399,0,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
isolation_forest_tuned,0.3735632183908046,1.0,0.5439330543933054,0.5879017013232514,181,218,0,130,0.9786196259880471,0.8588375876992395,0.12658004272719126,0.9027777777777778,1.0,0.9489051094890512,385,14,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
ensemble_majority_vote,0.37249283667621774,1.0,0.5427974947807933,0.5860113421550095,180,219,0,130,1.0,0.9999999999999998,2.2974469094401626,1.0,1.0,1.0,399,0,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
isolation_forest,0.36619718309859156,1.0,0.5360824742268041,0.5746691871455577,174,225,0,130,0.977424330055909,0.8285313385349284,0.15631568643925797,0.8904109589041096,1.0,0.9420289855072463,383,16,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
