model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
ocsvm,0.37790697674418605,1.0,0.5485232067510548,0.5962264150943396,186,214,0,130,0.9999999999999999,1.0,5.255607030097604,1.0,1.0,1.0,400,0,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
lof,0.3641456582633053,1.0,0.5338809034907598,0.5716981132075472,173,227,0,130,0.9991923076923077,0.9975756051323206,0.7184319186779411,0.9769230769230769,0.9769230769230769,0.9769230769230769,397,3,3,127,traffic_ground_truth_ip_window,warmup_normal_baseline,96
isolation_forest,0.3581267217630854,1.0,0.5273833671399595,0.560377358490566,167,233,0,130,0.9994423076923077,0.9980717840925828,0.20778246019708674,0.9923664122137404,1.0,0.9961685823754789,399,1,0,130,traffic_ground_truth_ip_window,warmup_normal_baseline,96
