model,precision,recall,f1,accuracy,roc_auc,pr_auc,label_source
ocsvm,0.6666666666666666,0.4,0.5,0.5555555555555556,0.5,0.6334523809523809,traffic_ground_truth
isolation_forest,0.3333333333333333,0.2,0.25,0.3333333333333333,0.2,0.3912698412698413,traffic_ground_truth
lof,0.3333333333333333,0.2,0.25,0.3333333333333333,0.525,0.6326984126984128,traffic_ground_truth
