model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.39080459770114945,1.0,0.5619834710743802,0.8146853146853147,597,159,0,102,0.9988847390808175,0.9912591176613822,0.8353941313719782,0.98,0.9607843137254902,0.9702970297029702,754,2,4,98,traffic_ground_truth_ip_window,warmup_normal_baseline,185
ensemble_majority_vote,0.3167701863354037,1.0,0.4811320754716981,0.7435897435897436,536,220,0,102,0.9996239236435316,0.9968918900956838,3.7169861581894885,0.9807692307692307,1.0,0.9902912621359222,754,2,0,102,traffic_ground_truth_ip_window,warmup_normal_baseline,185
isolation_forest_tuned,0.2905982905982906,1.0,0.4503311258278146,0.7097902097902098,507,249,0,102,0.9723908081751218,0.6845523282541953,0.11529391589754723,0.7727272727272727,1.0,0.8717948717948718,726,30,0,102,traffic_ground_truth_ip_window,warmup_normal_baseline,185
isolation_forest,0.28732394366197184,1.0,0.44638949671772427,0.7051282051282052,503,253,0,102,0.9742582218072414,0.6714881609521277,0.1276914106438305,0.7846153846153846,1.0,0.8793103448275863,728,28,0,102,traffic_ground_truth_ip_window,warmup_normal_baseline,185
ocsvm,0.2622107969151671,1.0,0.4154786150712831,0.6655011655011654,469,287,0,102,1.0,0.9999999999999999,10.617497934708807,1.0,1.0,1.0,756,0,0,102,traffic_ground_truth_ip_window,warmup_normal_baseline,185
