model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
ensemble_majority_vote,0.14035087719298245,1.0,0.24615384615384617,0.7006109979633401,320,147,0,24,0.9999999999999999,1.0,4.0148562539313914,1.0,1.0,1.0,467,0,0,24,traffic_ground_truth_ip_window,warmup_normal_baseline,185
lof,0.13872832369942195,1.0,0.2436548223350254,0.6965376782077393,318,149,0,24,0.9998215560314062,0.9967307692307693,1.1055446499894575,1.0,0.9583333333333334,0.9787234042553191,467,0,1,23,traffic_ground_truth_ip_window,warmup_normal_baseline,185
isolation_forest_tuned,0.13714285714285715,1.0,0.24120603015075376,0.6924643584521385,316,151,0,24,0.969039971448965,0.40422256765136017,0.12339271262673057,0.6,1.0,0.7499999999999999,451,16,0,24,traffic_ground_truth_ip_window,warmup_normal_baseline,185
isolation_forest,0.13636363636363635,1.0,0.24,0.6904276985743381,315,152,0,24,0.978051391862955,0.4949351256612162,0.14009209351257146,0.6,1.0,0.7499999999999999,451,16,0,24,traffic_ground_truth_ip_window,warmup_normal_baseline,185
ocsvm,0.12371134020618557,1.0,0.22018348623853212,0.6537678207739308,297,170,0,24,1.0,1.0,11.172410294180333,1.0,1.0,1.0,467,0,0,24,traffic_ground_truth_ip_window,warmup_normal_baseline,185
