model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
rule_based_baseline,0.7076923076923077,1.0,0.8288288288288288,0.9427710843373494,267,19,0,46,0.995781392520523,0.9753771073646851,2.0,0.9387755102040817,1.0,0.968421052631579,283,3,0,46,traffic_ground_truth_ip_window,rule_based_baseline,0
lof,0.42592592592592593,1.0,0.5974025974025974,0.8132530120481928,224,62,0,46,0.9941851626634235,0.9643981526738088,0.4265245308115744,0.8518518518518519,1.0,0.92,278,8,0,46,traffic_ground_truth_ip_window,warmup_normal_baseline,60
ensemble_majority_vote,0.36507936507936506,1.0,0.5348837209302325,0.7590361445783133,206,80,0,46,0.9967695348130131,0.9796896810546762,1.282112062769943,0.9019607843137255,1.0,0.9484536082474228,281,5,0,46,traffic_ground_truth_ip_window,warmup_normal_baseline,60
isolation_forest_tuned,0.34328358208955223,1.0,0.5111111111111111,0.7349397590361446,198,88,0,46,0.9576238978412891,0.6426563299484777,0.09557408259496436,0.696969696969697,1.0,0.8214285714285715,266,20,0,46,traffic_ground_truth_ip_window,warmup_normal_baseline,60
isolation_forest,0.3357664233576642,1.0,0.5027322404371585,0.7259036144578314,195,91,0,46,0.9686454849498328,0.7218388009973975,0.1391921639758829,0.7076923076923077,1.0,0.8288288288288288,267,19,0,46,traffic_ground_truth_ip_window,warmup_normal_baseline,60
ocsvm,0.27710843373493976,1.0,0.4339622641509434,0.6385542168674698,166,120,0,46,0.9966175129218608,0.9785760762511398,3.2806194935223716,0.9019607843137255,1.0,0.9484536082474228,281,5,0,46,traffic_ground_truth_ip_window,warmup_normal_baseline,60
