model,precision,recall,f1,accuracy,true_negatives,false_positives,false_negatives,true_positives,roc_auc,pr_auc,best_threshold,best_precision,best_recall,best_f1,best_true_negatives,best_false_positives,best_false_negatives,best_true_positives,label_source,evaluation_mode,train_samples
lof,0.39768339768339767,1.0,0.569060773480663,0.818815331010453,602,156,0,103,0.9999231498322104,0.9994370563759484,0.47968536405697937,0.9809523809523809,1.0,0.9903846153846153,756,2,0,103,traffic_ground_truth_ip_window,warmup_normal_baseline,186
ocsvm,0.3772893772893773,1.0,0.5478723404255319,0.8025551684088269,588,170,0,103,0.9999615749161052,0.9997157809507613,13.32539983260418,0.9903846153846154,1.0,0.9951690821256038,757,1,0,103,traffic_ground_truth_ip_window,warmup_normal_baseline,186
isolation_forest,0.32802547770700635,1.0,0.4940047961630695,0.7549361207897793,547,211,0,103,1.0,1.0,0.2651721020270673,1.0,1.0,1.0,758,0,0,103,traffic_ground_truth_ip_window,warmup_normal_baseline,186
